frame,spritename,x,y,w,h,confidence
395,bush2S.png,322,295,78,26,0.773027
395,bush3S.png,296,295,104,26,0.944191
395,cloud1S.png,219,64,52,39,0.955949
395,ground.png,129,322,26,38,0.94742
395,ground.png,206,322,26,38,0.871086
395,ground.png,104,322,26,38,0.87821
395,ground.png,361,322,26,38,0.976366
395,ground.png,52,322,26,38,0.991671
395,ground.png,181,322,26,38,0.94504
395,ground.png,26,322,26,38,0.970043
395,ground.png,284,322,26,38,0.966091
395,ground.png,335,322,26,38,0.949352
395,ground.png,310,322,26,38,0.878883
395,ground.png,258,322,26,38,0.997273
395,ground.png,155,322,26,38,0.976359
395,ground.png,78,322,26,38,0.956169
395,ground.png,0,322,26,38,0.875059
395,ground.png,232,322,26,38,0.968941
395,largeHillS.png,0,265,130,56,0.931011
395,largeHillS.png,3,260,130,56,0.773825
395,smallHillS.png,26,265,78,30,0.974557
395,smallHillS.png,23,269,78,30,0.788312
395,smallHillS.png,30,263,78,30,0.753466
395,smallHillS.png,29,269,78,30,0.772205
396,bush2S.png,322,295,78,26,0.773027
396,bush3S.png,296,295,104,26,0.944191
396,cloud1S.png,219,64,52,39,0.955949
396,ground.png,129,322,26,38,0.94754
396,ground.png,206,322,26,38,0.871087
396,ground.png,104,322,26,38,0.87821
396,ground.png,361,322,26,38,0.976491
396,ground.png,52,322,26,38,0.991671
396,ground.png,181,322,26,38,0.945041
396,ground.png,26,322,26,38,0.970058
396,ground.png,284,322,26,38,0.966091
396,ground.png,335,322,26,38,0.949352
396,ground.png,310,322,26,38,0.87868
396,ground.png,258,322,26,38,0.997273
396,ground.png,155,322,26,38,0.97636
396,ground.png,78,322,26,38,0.95617
396,ground.png,0,322,26,38,0.875674
396,ground.png,232,322,26,38,0.968942
396,largeHillS.png,0,265,130,56,0.931011
396,largeHillS.png,3,260,130,56,0.773825
396,smallHillS.png,26,265,78,30,0.974557
396,smallHillS.png,23,269,78,30,0.788312
396,smallHillS.png,30,263,78,30,0.753466
396,smallHillS.png,29,269,78,30,0.772205
397,bush2S.png,322,295,78,26,0.773027
397,bush3S.png,296,295,104,26,0.944192
397,cloud1S.png,219,64,52,39,0.955949
397,ground.png,129,322,26,38,0.947682
397,ground.png,206,322,26,38,0.871086
397,ground.png,104,322,26,38,0.878209
397,ground.png,361,322,26,38,0.976491
397,ground.png,52,322,26,38,0.991671
397,ground.png,181,322,26,38,0.94504
397,ground.png,26,322,26,38,0.970057
397,ground.png,284,322,26,38,0.966091
397,ground.png,335,322,26,38,0.949352
397,ground.png,310,322,26,38,0.87868
397,ground.png,258,322,26,38,0.997273
397,ground.png,155,322,26,38,0.976359
397,ground.png,78,322,26,38,0.956169
397,ground.png,0,322,26,38,0.875674
397,ground.png,232,322,26,38,0.968942
397,largeHillS.png,0,265,130,56,0.931011
397,largeHillS.png,3,260,130,56,0.773825
397,smallHillS.png,26,265,78,30,0.974557
397,smallHillS.png,23,269,78,30,0.788312
397,smallHillS.png,30,263,78,30,0.753465
397,smallHillS.png,29,269,78,30,0.772205
398,bush2S.png,322,295,78,26,0.773027
398,bush3S.png,296,295,104,26,0.944192
398,cloud1S.png,219,64,52,39,0.95595
398,ground.png,129,322,26,38,0.947682
398,ground.png,206,322,26,38,0.871086
398,ground.png,104,322,26,38,0.87821
398,ground.png,361,322,26,38,0.976491
398,ground.png,52,322,26,38,0.99174
398,ground.png,181,322,26,38,0.945041
398,ground.png,26,322,26,38,0.970057
398,ground.png,284,322,26,38,0.966091
398,ground.png,335,322,26,38,0.949352
398,ground.png,310,322,26,38,0.87868
398,ground.png,258,322,26,38,0.997273
398,ground.png,155,322,26,38,0.97636
398,ground.png,78,322,26,38,0.956146
398,ground.png,0,322,26,38,0.875674
398,ground.png,232,322,26,38,0.968942
398,largeHillS.png,0,265,130,56,0.931011
398,largeHillS.png,3,260,130,56,0.773825
398,smallHillS.png,26,265,78,30,0.974557
398,smallHillS.png,23,269,78,30,0.788312
398,smallHillS.png,30,263,78,30,0.753465
398,smallHillS.png,29,269,78,30,0.772205
399,bush2S.png,322,295,78,26,0.773027
399,bush3S.png,296,295,104,26,0.944192
399,cloud1S.png,219,64,52,39,0.95595
399,ground.png,129,322,26,38,0.947682
399,ground.png,206,322,26,38,0.871086
399,ground.png,104,322,26,38,0.87821
